;;;;;;;;
;Grunnkretser;;;;;;Arkenreferanse: [Legg inn nummer her];
;Kommunenummer;Dagens nummer;Dagens navn;Nytt nummer;Nytt navn;Status;Kommentar;
;3209;32090603;Østli;32400803;Dal stasjon;Validert;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;Stemmekrets;;;;;;Arkenreferanse: [Legg inn nummer her];
;Kommunenummer;Dagens nummer;Dagens navn;Nytt nummer;Nytt navn;Status;Kommentar;
;3209;6;Mogreina;1;Dal;Validert;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;Kirkesokn;;;;;;Arkenreferanse: [Legg inn nummer her];
;Kommunenummer;Dagens nummer;Dagens navn;Nytt nummer;Nytt navn;Status;Kommentar;
;3209;2070702;Mogreina;2070304;Råholt;Under arbeid;Husk ledende 0;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;Skolekrets;;;;;;Arkenreferanse: [Legg inn nummer her];
;Kommunenummer;Dagens nummer;Dagens navn;Nytt nummer;Nytt navn;Status;Kommentar;
;3209;1;Mogreina;80;Dal;Validert;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;Postnummerområder;;;;;;Arkenreferanse: [Legg inn nummer her];
;Kommunenummer;Dagens nummer;Dagens navn;Nytt nummer;Nytt navn;Status;Kommentar;
;3209;2072;Dal;;;Under arbeid;Ingen endring;sjekk e-post frå Frode Wold
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;Arbeidsgiveravgiftssone;;;;;;Arkenreferanse: [Legg inn nummer her];
;Kommunenummer;Dagens nummer;Dagens navn;Nytt nummer;Nytt navn;Status;Kommentar;
;3209;;;;;;;
